SPH07 input file generated from LSDYNA K file                                 
Global time history data
,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.106718-320,  0.109683-320,  0.113141-320,  0.000000E+00,  0.000000E+00,  0.665506-320,  0.669953-320,  0.674894-320
,  0.120148E-02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.408494E-01,  0.294564E-02,  0.849729E-09,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.706020E-03,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.804973E-01,  0.117436E-01,  0.279349E-08,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.303984E-02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.120145E+00,  0.263289E-01,  0.432471E-08,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.735850E-02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.160995E+00,  0.473316E-01,  0.544614E-08,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.143067E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.200642E+00,  0.734304E-01,  0.719402E-08,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.239334E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.240290E+00,  0.105063E+00,  0.903974E-08,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.369022E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.281140E+00,  0.143331E+00,  0.108851E-07,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.543431E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.320788E+00,  0.185862E+00,  0.132097E-07,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.758566E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.360436E+00,  0.233569E+00,  0.159549E-07,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.102569E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.400083E+00,  0.286308E+00,  0.192289E-07,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.135224E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.440933E+00,  0.345737E+00,  0.235139E-07,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.175946E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.480581E+00,  0.408181E+00,  0.284100E-07,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.223259E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.520229E+00,  0.475118E+00,  0.343748E-07,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.279233E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.561078E+00,  0.548560E+00,  0.425056E-07,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.347091E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.600726E+00,  0.623946E+00,  0.522984E-07,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.424035E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.640374E+00,  0.703119E+00,  0.642611E-07,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.513172E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.680022E+00,  0.785802E+00,  0.796348E-07,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.615870E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.720871E+00,  0.874345E+00,  0.993746E-07,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.737422E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.760519E+00,  0.963208E+00,  0.122607E-06,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.872308E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.800167E+00,  0.105460E+01,  0.150438E-06,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.102557E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.841016E+00,  0.115100E+01,  0.183938E-06,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.120463E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.880664E+00,  0.124633E+01,  0.222510E-06,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.140095E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.920312E+00,  0.134297E+01,  0.268266E-06,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.162153E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.961162E+00,  0.144342E+01,  0.323715E-06,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.187649E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.100081E+01,  0.154128E+01,  0.387190E-06,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.215319E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.100201E+01,  0.154425E+01,  0.389288E-06,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.103868E+00,  0.216205E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.108011E+01,  0.173295E+01,  0.545270E-06,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.279634E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.112095E+01,  0.183161E+01,  0.645770E-06,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.318209E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.116060E+01,  0.192555E+01,  0.760038E-06,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.359548E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.120025E+01,  0.201710E+01,  0.891169E-06,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.405001E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.124110E+01,  0.210827E+01,  0.104338E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.456420E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.128075E+01,  0.219307E+01,  0.121131E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.511062E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.132040E+01,  0.227360E+01,  0.140268E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.570644E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.136004E+01,  0.234922E+01,  0.162003E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.635435E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.140089E+01,  0.242133E+01,  0.187424E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.707913E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.144054E+01,  0.248507E+01,  0.215520E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.784070E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.148019E+01,  0.254203E+01,  0.247192E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.866187E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.152104E+01,  0.259302E+01,  0.283372E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.957251E+01,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.156069E+01,  0.263450E+01,  0.322006E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.105210E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.160033E+01,  0.266758E+01,  0.364700E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.115347E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.164118E+01,  0.269242E+01,  0.413441E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.126487E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.168083E+01,  0.270715E+01,  0.465159E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.137982E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.172048E+01,  0.271236E+01,  0.521493E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.150153E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.176013E+01,  0.270781E+01,  0.583153E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.162999E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.180098E+01,  0.269279E+01,  0.652374E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.176930E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.184062E+01,  0.266815E+01,  0.724682E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.191115E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.188027E+01,  0.263369E+01,  0.802021E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.205931E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.192112E+01,  0.258814E+01,  0.886778E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.221828E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.196077E+01,  0.253450E+01,  0.973386E-05,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.237835E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.200042E+01,  0.247203E+01,  0.106452E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.254368E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.200162E+01,  0.247001E+01,  0.106735E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.100894E+00,  0.254877E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.208091E+01,  0.232331E+01,  0.125787E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.288275E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.212056E+01,  0.223906E+01,  0.135797E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.305453E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.216021E+01,  0.214945E+01,  0.146198E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.322861E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.220106E+01,  0.205265E+01,  0.157133E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.340956E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.224071E+01,  0.195558E+01,  0.168005E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.358586E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.228036E+01,  0.185673E+01,  0.179226E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.376192E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.232000E+01,  0.175747E+01,  0.190614E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.393679E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.236085E+01,  0.165631E+01,  0.202395E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.411470E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.240050E+01,  0.156074E+01,  0.213895E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.428411E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.244015E+01,  0.146932E+01,  0.225498E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.444924E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.248100E+01,  0.138114E+01,  0.237521E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.461378E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.252065E+01,  0.130304E+01,  0.249058E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.476698E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.256029E+01,  0.123391E+01,  0.260284E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.491270E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.260114E+01,  0.117370E+01,  0.271303E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.505394E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.264079E+01,  0.112749E+01,  0.281410E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.518135E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.268044E+01,  0.109477E+01,  0.291092E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.529828E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.272009E+01,  0.107687E+01,  0.300457E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.540382E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.276094E+01,  0.107521E+01,  0.309761E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.549981E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.280058E+01,  0.109098E+01,  0.318471E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.557985E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.284023E+01,  0.112480E+01,  0.326819E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.564628E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.288108E+01,  0.117928E+01,  0.334821E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.569988E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.292073E+01,  0.125177E+01,  0.341938E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.573704E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.296038E+01,  0.134390E+01,  0.348512E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.575925E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.300003E+01,  0.145576E+01,  0.354377E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.576633E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.300123E+01,  0.145945E+01,  0.354544E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.918474E-01,  0.576631E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.308052E+01,  0.173786E+01,  0.364045E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.936701E-01,  0.573979E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.312017E+01,  0.190737E+01,  0.368182E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.936701E-01,  0.570396E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.316102E+01,  0.210085E+01,  0.372685E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.936701E-01,  0.565163E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.320067E+01,  0.230586E+01,  0.376514E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.936701E-01,  0.558637E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.324032E+01,  0.252661E+01,  0.379210E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.936701E-01,  0.550744E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
,  0.328116E+01,  0.276901E+01,  0.381488E-04,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.936701E-01,  0.541251E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00
